id,first_name,last_name,email,gender,experience_years,age,state,current_position,interest,university_quality,gpa,years_work_experience,years_education_experience,prior_degree_level,prior_degree_field,sat_percentile,gpa_percentile,individual_income_level,parental_education_level,disposable_income_for_university,international_candidate,number_of_dependents
25,Cyrill,Cescotti,ccescottio@jigsy.com,Male,23,43,California,Teaching Assistant / Paraprofessional,Inclusive & Special Education,International Institution,3.48,23,0,Bachelor's Degree,STEM,45,66,32739,Master's degree,8660,0,2
26,Pru,Simonds,psimondsp@icq.com,Female,20,46,Texas,K-12 Classroom Teacher,Assessment & Data-Informed Instruction,R2 Research University,3.15,20,12,Bachelor's Degree,Social Sciences,66,42,58695,High school or below,6387,0,3
27,Chelsea,Holtaway,choltawayq@psu.edu,Female,7,35,Pennsylvania,Instructional Coach,AI in Education,Private University (Nonselective),3.05,7,6,Doctoral Degree,Education,86,36,71692,Bachelor's degree,14746,0,1
28,Brena,Lamke,blamker@nydailynews.com,Male,1,24,California,Instructional Coach,Inclusive & Special Education,R2 Research University,3.47,1,1,Bachelor's Degree,Social Sciences,57,52,79328,Bachelor's degree,13534,0,0
29,Jandy,Redrup,jredrups@paypal.com,Male,7,27,New York,Career Switcher (Non-Education Background),Edtech & Digital Learning,Regional Public University,3.54,7,1,Master's Degree,Business,68,89,23307,Doctoral degree,5456,0,0
30,Adda,Eliaz,aeliazt@free.fr,Female,30,60,Minnesota,K-12 Classroom Teacher,Assessment & Data-Informed Instruction,Regional Public University,3.4,30,22,Master's Degree,Education,48,65,40428,Bachelor's degree,8738,0,2
31,Daisey,Truelock,dtruelocku@nifty.com,Female,7,28,Texas,Career Switcher (Non-Education Background),Literacy & Language Learning,Liberal Arts College,3.27,7,0,Bachelor's Degree,Business,63,59,17872,Some college,3426,0,0
32,Sacha,Lightoller,slightollerv@dropbox.com,Male,0,23,Florida,K-12 Classroom Teacher,AI in Education,R1 Research University,3.4,0,0,Master's Degree,Education,78,61,60230,Bachelor's degree,11519,0,0
33,Elsey,Gouldthorp,egouldthorpw@1und1.de,Male,6,39,California,K-12 Classroom Teacher,Literacy & Language Learning,International Institution,3.25,6,6,Bachelor's Degree,Arts & Humanities,72,54,60565,Some college,17132,1,2
34,Evangelia,Karlolczak,ekarlolczakx@liveinternet.ru,Male,7,38,Virginia,Career Switcher (Non-Education Background),Arts & Music Education,R1 Research University,3.12,7,1,Master's Degree,Arts & Humanities,94,50,40352,Some college,8496,0,2
35,Marion,Hannah,mhannahy@mtv.com,Female,2,26,Florida,Education Consultant,Literacy & Language Learning,R1 Research University,3.52,2,2,Bachelor's Degree,STEM,93,84,135725,Master's degree,25461,1,2
36,Maryann,Darth,mdarthz@example.com,Male,0,25,Texas,Teaching Assistant / Paraprofessional,Edtech & Digital Learning,International Institution,3.79,0,0,Bachelor's Degree,Health / Nursing,89,81,37551,Some college,10631,1,0
37,Kania,Stuckes,kstuckes10@dion.ne.jp,Female,1,25,Wisconsin,Teaching Assistant / Paraprofessional,Arts & Music Education,Regional Public University,3.33,1,0,Bachelor's Degree,Health / Nursing,56,66,27409,Some college,6737,0,0
38,Antonio,Bottom,abottom11@marriott.com,Female,6,26,Florida,K-12 Classroom Teacher,Edtech & Digital Learning,Community College / 2-Year College,3.67,6,2,Bachelor's Degree,Education,72,78,53500,Bachelor's degree,7063,1,1
39,Margarethe,Cough,mcough12@over-blog.com,Male,22,54,Indiana,Instructional Coach,AI in Education,Liberal Arts College,3.19,22,21,Doctoral Degree,Education,83,47,68277,Bachelor's degree,17326,1,2
40,Alli,Clilverd,aclilverd13@mac.com,Female,2,23,Florida,Higher Education Instructor,AI in Education,R2 Research University,3.13,2,2,Bachelor's Degree,Social Sciences,66,51,71410,Bachelor's degree,11706,0,0
41,Richy,Lamblot,rlamblot14@sina.com.cn,Male,14,33,Michigan,K-12 Classroom Teacher,Literacy & Language Learning,R1 Research University,3.28,14,4,Master's Degree,Social Sciences,77,71,58961,Master's degree,13195,0,1
42,Niccolo,Tathacott,ntathacott15@unc.edu,Male,6,37,Pennsylvania,Preservice Teacher / Education Student,Arts & Music Education,R1 Research University,3.43,6,1,Master's Degree,STEM,97,68,31954,Master's degree,9287,0,0
43,Carrissa,Charlin,ccharlin16@clickbank.net,Female,11,46,Florida,Education Nonprofit Staff,Edtech & Digital Learning,International Institution,2.93,11,2,Bachelor's Degree,Business,68,29,52089,Some college,6281,0,3
44,Nada,MacBarron,nmacbarron17@vinaora.com,Male,1,26,California,Teaching Assistant / Paraprofessional,Literacy & Language Learning,Regional Public University,3.47,1,1,Bachelor's Degree,Arts & Humanities,43,61,31831,Bachelor's degree,3799,0,0
45,Lezlie,McKelvey,lmckelvey18@goodreads.com,Male,5,38,North Carolina,Education Nonprofit Staff,Leadership & School Improvement,Private University (Nonselective),3.83,5,1,Master's Degree,Education,65,97,59383,Doctoral degree,10230,0,1
46,Jenni,Lamblot,jlamblot19@merriam-webster.com,Male,10,40,Massachusetts,K-12 Classroom Teacher,STEM Education,Regional Public University,3.2,10,9,Bachelor's Degree,STEM,77,68,78080,Some college,25495,0,1
47,Filia,Beauvais,fbeauvais1a@newyorker.com,Female,14,40,New York,College Student (Non-Education Major),Social-Emotional Learning (SEL),Regional Public University,3.7,14,0,Bachelor's Degree,Arts & Humanities,91,76,20793,Bachelor's degree,4498,1,1
48,Les,Duke,lduke1b@yolasite.com,Female,13,40,Georgia,Teaching Assistant / Paraprofessional,Social-Emotional Learning (SEL),Liberal Arts College,3.03,13,0,Bachelor's Degree,Health / Nursing,53,55,31594,Bachelor's degree,3647,0,1
49,Andeee,Kincade,akincade1c@dropbox.com,Female,7,30,Maryland,Education Nonprofit Staff,Literacy & Language Learning,Regional Public University,3.62,7,1,Master's Degree,Education,87,93,69738,High school or below,7762,0,0
50,Dinnie,Lodemann,dlodemann1d@ihg.com,Male,0,24,California,Instructional Coach,Arts & Music Education,Community College / 2-Year College,2.94,0,0,Associate Degree,Education,50,26,67518,Bachelor's degree,15941,0,0
51,Lesley,Titlow,ltitlow1e@shutterfly.com,Female,7,28,California,K-12 Classroom Teacher,Edtech & Digital Learning,Liberal Arts College,3.67,7,1,Associate Degree,Education,74,81,61469,Some college,14820,0,0
52,Wyndham,Copeland,wcopeland1f@weather.com,Female,20,42,South Carolina,Preservice Teacher / Education Student,Edtech & Digital Learning,R2 Research University,3.71,20,1,Bachelor's Degree,STEM,56,88,16968,Bachelor's degree,2643,0,2
53,Cayla,Parres,cparres1g@huffingtonpost.com,Female,4,27,Ohio,After-school / Enrichment Educator,Edtech & Digital Learning,Liberal Arts College,3.72,4,0,Bachelor's Degree,Arts & Humanities,84,83,26651,Doctoral degree,3742,0,0
54,Frannie,Tidmarsh,ftidmarsh1h@meetup.com,Male,1,29,Michigan,K-12 Classroom Teacher,Literacy & Language Learning,R2 Research University,3.5,1,1,Bachelor's Degree,Education,67,84,57420,Bachelor's degree,7376,1,1
55,Papagena,Ivanshintsev,pivanshintsev1i@huffingtonpost.com,Female,5,37,Kentucky,College Student (Non-Education Major),Assessment & Data-Informed Instruction,R2 Research University,3.49,5,0,Bachelor's Degree,Business,99,60,11145,High school or below,3363,1,1
56,Berenice,Abela,babela1j@mashable.com,Male,1,25,Florida,Preservice Teacher / Education Student,Arts & Music Education,Regional Public University,3.82,1,0,Master's Degree,Social Sciences,63,98,31351,Master's degree,4740,0,0
57,Mario,Slatter,mslatter1k@a8.net,Female,15,38,Texas,Career Switcher (Non-Education Background),STEM Education,R2 Research University,3.14,15,1,Bachelor's Degree,Social Sciences,99,40,15596,Master's degree,3585,0,0
58,Berni,Penhall,bpenhall1l@elpais.com,Male,15,34,New York,Career Switcher (Non-Education Background),Edtech & Digital Learning,Private University (Nonselective),3.51,15,0,Master's Degree,STEM,30,80,51792,Some college,16460,0,1
59,Cecil,Eschelle,ceschelle1m@wp.com,Female,7,26,Georgia,Education Nonprofit Staff,Social-Emotional Learning (SEL),R1 Research University,3.72,7,0,Bachelor's Degree,Health / Nursing,83,83,64918,Bachelor's degree,7972,0,0
60,Arnie,Shankster,ashankster1n@dot.gov,Female,2,24,Pennsylvania,K-12 Classroom Teacher,Edtech & Digital Learning,Regional Public University,3.63,2,2,Master's Degree,Education,61,80,42996,Doctoral degree,7795,0,0
61,Adria,Assandri,aassandri1o@ed.gov,Female,2,23,California,College Student (Non-Education Major),Inclusive & Special Education,R2 Research University,3.84,2,1,Bachelor's Degree,Education,33,88,37097,Bachelor's degree,11396,0,0
62,Ellis,Titterington,etitterington1p@smugmug.com,Male,1,22,North Carolina,K-12 Classroom Teacher,Arts & Music Education,Community College / 2-Year College,3.84,1,1,Associate Degree,Education,69,86,65121,Bachelor's degree,17708,0,0
63,Brandais,Kwietak,bkwietak1q@goodreads.com,Male,6,27,Indiana,K-12 Classroom Teacher,AI in Education,R2 Research University,3.77,6,1,Bachelor's Degree,Education,55,93,69587,Master's degree,19721,0,0
64,Romy,Dowglass,rdowglass1r@photobucket.com,Female,4,27,California,Teaching Assistant / Paraprofessional,STEM Education,R2 Research University,3.65,4,4,Master's Degree,Education,65,50,33846,Bachelor's degree,6877,0,1
65,Hillel,Stanluck,hstanluck1s@canalblog.com,Male,6,36,North Carolina,K-12 Classroom Teacher,Social-Emotional Learning (SEL),Liberal Arts College,3.17,6,3,Bachelor's Degree,Education,81,54,68411,Master's degree,14833,0,1
66,Nathanil,Tran,ntran1t@tinypic.com,Male,1,23,Virginia,College Student (Non-Education Major),Leadership & School Improvement,Regional Public University,3.51,1,1,Bachelor's Degree,Arts & Humanities,37,81,28723,Bachelor's degree,7789,0,0
67,Nathaniel,Dunklee,ndunklee1u@accuweather.com,Female,13,34,California,Career Switcher (Non-Education Background),AI in Education,R2 Research University,3.76,13,0,Master's Degree,Other,92,84,32043,High school or below,10245,0,1
68,Eldredge,Witton,ewitton1v@hubpages.com,Female,7,26,California,Education Nonprofit Staff,Social-Emotional Learning (SEL),Community College / 2-Year College,2.86,7,1,Bachelor's Degree,Social Sciences,47,32,66140,Doctoral degree,15550,0,1
69,Roslyn,D'Enrico,rdenrico1w@apple.com,Female,2,24,New York,K-12 Classroom Teacher,Edtech & Digital Learning,Private University (Nonselective),3.03,2,1,Bachelor's Degree,Social Sciences,59,44,55114,Bachelor's degree,10900,0,0
70,Timothee,Huett,thuett1x@ask.com,Female,11,35,Texas,K-12 Classroom Teacher,Arts & Music Education,R2 Research University,3.57,11,8,Bachelor's Degree,Social Sciences,62,70,53158,High school or below,16671,0,2
71,Teador,Binford,tbinford1y@guardian.co.uk,Female,13,37,North Carolina,Education Consultant,STEM Education,R2 Research University,3.23,13,12,Master's Degree,Education,63,72,137825,High school or below,17394,0,2
72,Augustus,Phidgin,aphidgin1z@addthis.com,Male,19,44,New York,Instructional Coach,AI in Education,Community College / 2-Year College,3.09,19,13,Doctoral Degree,Education,43,49,63656,High school or below,11248,0,3
73,Clement,Dorwood,cdorwood20@xing.com,Female,10,35,Michigan,Education Nonprofit Staff,Edtech & Digital Learning,R2 Research University,3.19,10,3,Master's Degree,Social Sciences,94,48,48409,Bachelor's degree,15260,0,1
74,Cecilia,Langcaster,clangcaster21@census.gov,Female,1,22,Connecticut,Instructional Coach,Arts & Music Education,R1 Research University,3.66,1,1,Bachelor's Degree,Social Sciences,80,92,81386,Bachelor's degree,12385,0,1
75,Emmanuel,Millery,emillery22@blinklist.com,Male,1,23,Pennsylvania,Career Switcher (Non-Education Background),AI in Education,Regional Public University,3.9,1,0,Bachelor's Degree,Business,68,90,40038,Master's degree,10473,0,0
76,Lula,McKniely,lmckniely23@live.com,Male,6,32,California,Higher Education Instructor,Arts & Music Education,Regional Public University,3.21,6,6,Bachelor's Degree,Business,49,77,105949,Some college,21872,0,2
77,Beverie,Danks,bdanks24@blogtalkradio.com,Female,25,53,New Jersey,K-12 Classroom Teacher,Literacy & Language Learning,Liberal Arts College,3.23,25,7,Master's Degree,Education,96,64,78191,Master's degree,15498,0,3
78,Silvan,Cordelet,scordelet25@comcast.net,Male,7,30,Michigan,Instructional Coach,AI in Education,Community College / 2-Year College,2.84,7,5,Master's Degree,Arts & Humanities,45,75,70049,Master's degree,19654,0,0
79,Jae,Lesser,jlesser26@cbc.ca,Male,2,27,Florida,Teaching Assistant / Paraprofessional,AI in Education,R2 Research University,3.25,2,2,Bachelor's Degree,Health / Nursing,69,67,36552,Bachelor's degree,3855,0,0
80,Aurlie,Kirkland,akirkland27@theglobeandmail.com,Female,1,28,Texas,K-12 Classroom Teacher,Edtech & Digital Learning,International Institution,3.29,1,1,Master's Degree,Social Sciences,79,65,57184,Bachelor's degree,15240,0,0
81,Zedekiah,Thiese,zthiese28@ucoz.com,Female,4,26,Oregon,K-12 Classroom Teacher,Inclusive & Special Education,Regional Public University,2.86,4,1,Master's Degree,Other,63,43,64073,Bachelor's degree,16544,0,0
82,Auroora,Fessby,afessby29@weather.com,Female,6,28,Texas,Teaching Assistant / Paraprofessional,Edtech & Digital Learning,Regional Public University,3.64,6,1,Bachelor's Degree,Social Sciences,68,86,38384,Some college,10659,0,1
83,Christi,Laidlaw,claidlaw2a@dell.com,Male,13,38,California,K-12 Classroom Teacher,Edtech & Digital Learning,Regional Public University,3.21,13,11,Bachelor's Degree,Arts & Humanities,57,65,81882,Master's degree,23596,0,2
84,Didi,Bertouloume,dbertouloume2b@narod.ru,Female,21,52,Florida,K-12 Classroom Teacher,Literacy & Language Learning,Liberal Arts College,3.67,21,16,Bachelor's Degree,Health / Nursing,80,79,64375,Some college,18682,0,1
85,Hardy,Fauguel,hfauguel2c@nature.com,Male,0,24,California,Instructional Coach,Inclusive & Special Education,International Institution,3.28,0,0,Bachelor's Degree,Social Sciences,99,60,63523,High school or below,7414,1,0
86,Thia,Coneybeare,tconeybeare2d@sun.com,Male,2,22,Texas,After-school / Enrichment Educator,Literacy & Language Learning,Community College / 2-Year College,3.11,2,2,Bachelor's Degree,Business,44,41,31323,Bachelor's degree,3390,0,0
87,Dionne,Baus,dbaus2e@ow.ly,Nonbinary,3,29,Florida,K-12 Classroom Teacher,Literacy & Language Learning,Private University (Nonselective),2.97,3,1,Bachelor's Degree,Other,51,23,51893,Doctoral degree,6452,0,1
88,Florry,Ricardou,fricardou2f@si.edu,Male,24,56,Massachusetts,Instructional Coach,Edtech & Digital Learning,R2 Research University,3.23,24,6,Master's Degree,STEM,67,65,81777,Some college,26248,0,2
89,Celia,Sharma,csharma2g@businessweek.com,Male,25,53,Ohio,Instructional Coach,Edtech & Digital Learning,International Institution,3.17,25,24,Master's Degree,STEM,38,47,68709,Bachelor's degree,19732,0,2
90,Nissie,Haycox,nhaycox2h@mozilla.com,Male,8,32,Colorado,After-school / Enrichment Educator,Inclusive & Special Education,R2 Research University,3.81,8,1,Master's Degree,Education,61,93,30276,Bachelor's degree,9622,0,1
91,Opalina,Cantrell,ocantrell2i@hatena.ne.jp,Male,6,31,Louisiana,K-12 Classroom Teacher,Social-Emotional Learning (SEL),Regional Public University,3.25,6,5,Bachelor's Degree,Education,64,64,53874,Bachelor's degree,18570,0,0
92,Noelle,Kegley,nkegley2j@comsenz.com,Female,12,35,Louisiana,Teaching Assistant / Paraprofessional,Literacy & Language Learning,Regional Public University,3.24,12,1,Bachelor's Degree,Social Sciences,68,63,34152,Some college,5924,0,0
93,Isador,Fozzard,ifozzard2k@t-online.de,Male,4,29,Illinois,Preservice Teacher / Education Student,Assessment & Data-Informed Instruction,Private University (Nonselective),3.57,4,1,Bachelor's Degree,Education,63,80,34358,High school or below,6365,0,1
94,Guilbert,Capenor,gcapenor2l@mozilla.org,Male,23,43,California,K-12 Classroom Teacher,STEM Education,Regional Public University,2.91,23,22,Doctoral Degree,Social Sciences,49,32,46631,Doctoral degree,5096,0,3
95,Florencia,Kenworthey,fkenworthey2m@vistaprint.com,Male,8,38,Florida,Preservice Teacher / Education Student,Leadership & School Improvement,R2 Research University,3.36,8,1,Bachelor's Degree,Education,76,52,23246,Bachelor's degree,4689,0,1
96,Gillie,Kleinholz,gkleinholz2n@printfriendly.com,Female,1,30,Florida,Education Consultant,Arts & Music Education,R2 Research University,3.08,1,1,Master's Degree,Education,64,39,82649,Bachelor's degree,14897,0,0
97,Marcelia,Nock,mnock2o@ezinearticles.com,Female,7,28,California,Career Switcher (Non-Education Background),Inclusive & Special Education,Community College / 2-Year College,3.65,7,1,Bachelor's Degree,STEM,42,70,32452,Some college,9112,0,0
98,Atlante,Breissan,abreissan2p@globo.com,Female,2,25,North Carolina,K-12 Classroom Teacher,Literacy & Language Learning,Liberal Arts College,3.42,2,1,Master's Degree,Education,64,63,49190,Bachelor's degree,14797,0,0
99,Ruben,Kaasman,rkaasman2q@accuweather.com,Male,15,48,Illinois,K-12 Classroom Teacher,Literacy & Language Learning,Regional Public University,3.44,15,15,Master's Degree,Education,48,59,50786,High school or below,17768,0,3
100,Andy,Geoghegan,ageoghegan2r@over-blog.com,Female,7,38,California,K-12 Classroom Teacher,Edtech & Digital Learning,Regional Public University,3.56,7,5,Associate Degree,Education,54,80,60838,Master's degree,9685,0,0
101,Nikolai,Brolly,nbrolly2s@1und1.de,Female,2,25,Florida,K-12 Classroom Teacher,AI in Education,Private University (Nonselective),3.3,2,1,Bachelor's Degree,Social Sciences,83,63,68470,Bachelor's degree,10876,1,0
102,Sonny,Starie,sstarie2t@mediafire.com,Female,1,22,California,College Student (Non-Education Major),Social-Emotional Learning (SEL),Community College / 2-Year College,3.3,1,0,Master's Degree,Education,24,56,27730,Some college,7045,0,0
103,Bonny,Cottesford,bcottesford2u@bloglines.com,Male,2,25,California,K-12 Classroom Teacher,AI in Education,Community College / 2-Year College,3.47,2,1,Master's Degree,Social Sciences,31,65,59304,Master's degree,11150,0,0
104,Nahum,Hebden,nhebden2v@tamu.edu,Male,14,47,Georgia,After-school / Enrichment Educator,Edtech & Digital Learning,Community College / 2-Year College,3.58,14,1,Master's Degree,Health / Nursing,54,89,31984,Doctoral degree,8237,1,2
105,Rennie,Coffin,rcoffin2w@4shared.com,Male,2,22,Pennsylvania,Instructional Coach,Edtech & Digital Learning,Regional Public University,3.51,2,2,Bachelor's Degree,Education,85,79,59330,High school or below,8854,0,0
106,Lisabeth,Povall,lpovall2x@163.com,Female,7,30,North Carolina,K-12 Classroom Teacher,Arts & Music Education,Regional Public University,3.71,7,5,Bachelor's Degree,Arts & Humanities,69,84,60428,Bachelor's degree,10038,0,1
107,Alysia,Edgson,aedgson2y@miitbeian.gov.cn,Female,7,28,Ohio,Career Switcher (Non-Education Background),Leadership & School Improvement,R1 Research University,3.24,7,0,Bachelor's Degree,STEM,81,75,39032,Some college,8536,0,1
108,Hyacinthe,Leglise,hleglise2z@weebly.com,Male,6,35,Florida,College Student (Non-Education Major),STEM Education,International Institution,3.39,6,1,Associate Degree,Arts & Humanities,51,71,14208,Bachelor's degree,4794,0,1
109,Christa,Verrell,cverrell30@liveinternet.ru,Female,14,36,New York,College Student (Non-Education Major),Inclusive & Special Education,Private University (Nonselective),3.14,14,0,Bachelor's Degree,Education,63,55,16843,Some college,3670,0,1
110,Jessalyn,Heathcote,jheathcote31@blogspot.com,Male,20,45,Pennsylvania,After-school / Enrichment Educator,Arts & Music Education,R2 Research University,3.15,20,2,Master's Degree,Other,85,47,39915,Master's degree,11199,0,2
111,Kore,Becerra,kbecerra32@geocities.jp,Female,6,27,Texas,School or District Leader,Arts & Music Education,Community College / 2-Year College,2.93,6,6,Associate Degree,Education,31,31,75091,Bachelor's degree,7729,0,0
112,Avril,Bricknall,abricknall33@nbcnews.com,Male,14,38,Washington,Education Nonprofit Staff,Inclusive & Special Education,Community College / 2-Year College,3.39,14,2,Bachelor's Degree,Social Sciences,45,73,62785,Some college,21190,0,0
113,Yolane,Brogioni,ybrogioni34@harvard.edu,Female,2,22,Florida,K-12 Classroom Teacher,Literacy & Language Learning,Community College / 2-Year College,3.26,2,2,Associate Degree,Social Sciences,58,53,54831,Master's degree,19812,0,0
114,Barton,Jodrellec,bjodrellec35@wikipedia.org,Male,0,22,Florida,Instructional Coach,Inclusive & Special Education,Liberal Arts College,3.5,0,0,Bachelor's Degree,Education,72,87,76043,Master's degree,19777,0,0
115,Reed,Fairbourn,rfairbourn36@tmall.com,Male,15,50,Illinois,K-12 Classroom Teacher,AI in Education,Private University (Nonselective),3.46,15,5,Master's Degree,Social Sciences,84,74,50551,Bachelor's degree,16502,0,1
116,Aurelie,Godball,agodball37@nhs.uk,Female,7,34,Ohio,Teaching Assistant / Paraprofessional,Arts & Music Education,Private University (Nonselective),3.78,7,0,Master's Degree,Arts & Humanities,42,90,26543,Master's degree,7122,0,1
117,Samson,Ferenczi,sferenczi38@yahoo.com,Female,18,48,Texas,Career Switcher (Non-Education Background),Inclusive & Special Education,Liberal Arts College,3.29,18,1,Master's Degree,Health / Nursing,53,56,21651,Bachelor's degree,2325,0,2
118,Josh,Kubczak,jkubczak39@ucsd.edu,Female,28,59,Washington,K-12 Classroom Teacher,Arts & Music Education,Regional Public University,3.33,28,5,Master's Degree,Education,30,61,83588,High school or below,26837,0,2
119,Shirlee,Oscroft,soscroft3a@artisteer.com,Female,24,42,California,Education Nonprofit Staff,AI in Education,R1 Research University,4.0,24,2,Bachelor's Degree,Social Sciences,90,98,47699,Bachelor's degree,9166,0,2
120,Lidia,Scheffler,lscheffler3b@msn.com,Nonbinary,11,34,Washington,K-12 Classroom Teacher,STEM Education,Private University (Nonselective),3.37,11,5,Bachelor's Degree,Social Sciences,73,61,73630,Bachelor's degree,18303,0,0
121,Timothee,Ferryn,tferryn3c@amazon.co.uk,Female,2,23,Michigan,Teaching Assistant / Paraprofessional,Social-Emotional Learning (SEL),Regional Public University,3.56,2,2,Associate Degree,STEM,63,70,26970,Master's degree,4680,0,0
122,Wendy,Malicki,wmalicki3d@cornell.edu,Female,0,23,Texas,Career Switcher (Non-Education Background),Literacy & Language Learning,R1 Research University,3.91,0,0,Bachelor's Degree,STEM,85,86,40956,Master's degree,9133,0,0
123,Rianon,Fonzone,rfonzone3e@wordpress.org,Male,0,24,Minnesota,K-12 Classroom Teacher,Social-Emotional Learning (SEL),Regional Public University,3.48,0,0,Bachelor's Degree,Education,55,56,48069,Master's degree,17702,0,0
